year,quarter,region,coverage,value
2012,q1,global,Insurance Market Index,1
2012,q1,global,Insurance Composite Renewal Rate,1.2%
2012,q1,global,Casualty Insurance Renewal Rate,0%
2012,q1,global,Property Insurance Renewal Rate,2.3%
2012,q1,global,Financial and Professional Liability Insurance Renewal Rate,0.6%
2012,q2,global,Insurance Market Index,1.004
2012,q2,global,Insurance Composite Renewal Rate,1.4%
2012,q2,global,Casualty Insurance Renewal Rate,0.8%
2012,q2,global,Property Insurance Renewal Rate,2.4%
2012,q2,global,Financial and Professional Liability Insurance Renewal Rate,0.4%
2012,q3,global,Insurance Market Index,1.007
2012,q3,global,Insurance Composite Renewal Rate,1.4%
2012,q3,global,Casualty Insurance Renewal Rate,1.2%
2012,q3,global,Property Insurance Renewal Rate,1.2%
2012,q3,global,Financial and Professional Liability Insurance Renewal Rate,1.9%
2012,q4,global,Insurance Market Index,1.01
2012,q4,global,Insurance Composite Renewal Rate,1.2%
2012,q4,global,Casualty Insurance Renewal Rate,1.4%
2012,q4,global,Property Insurance Renewal Rate,0.5%
2012,q4,global,Financial and Professional Liability Insurance Renewal Rate,2.2%
2013,q1,global,Insurance Market Index,1.011
2013,q1,global,Insurance Composite Renewal Rate,0.3%
2013,q1,global,Casualty Insurance Renewal Rate,0.7%
2013,q1,global,Property Insurance Renewal Rate,-0.2%
2013,q1,global,Financial and Professional Liability Insurance Renewal Rate,0.8%
2013,q2,global,Insurance Market Index,1.01
2013,q2,global,Insurance Composite Renewal Rate,-0.4%
2013,q2,global,Casualty Insurance Renewal Rate,0.2%
2013,q2,global,Property Insurance Renewal Rate,-1.2%
2013,q2,global,Financial and Professional Liability Insurance Renewal Rate,0.4%
2013,q3,global,Insurance Market Index,1.008
2013,q3,global,Insurance Composite Renewal Rate,-0.7%
2013,q3,global,Casualty Insurance Renewal Rate,0.7%
2013,q3,global,Property Insurance Renewal Rate,-2%
2013,q3,global,Financial and Professional Liability Insurance Renewal Rate,-0.2%
2013,q4,global,Insurance Market Index,1.005
2013,q4,global,Insurance Composite Renewal Rate,-1%
2013,q4,global,Casualty Insurance Renewal Rate,-0.2%
2013,q4,global,Property Insurance Renewal Rate,-1.7%
2013,q4,global,Financial and Professional Liability Insurance Renewal Rate,-0.8%
2014,q1,global,Insurance Market Index,1.001
2014,q1,global,Insurance Composite Renewal Rate,-1.6%
2014,q1,global,Casualty Insurance Renewal Rate,-0.2%
2014,q1,global,Property Insurance Renewal Rate,-3.5%
2014,q1,global,Financial and Professional Liability Insurance Renewal Rate,0%
2014,q2,global,Insurance Market Index,0.994
2014,q2,global,Insurance Composite Renewal Rate,-2.7%
2014,q2,global,Casualty Insurance Renewal Rate,-0.6%
2014,q2,global,Property Insurance Renewal Rate,-4.6%
2014,q2,global,Financial and Professional Liability Insurance Renewal Rate,-2.3%
2014,q3,global,Insurance Market Index,0.988
2014,q3,global,Insurance Composite Renewal Rate,-2.8%
2014,q3,global,Casualty Insurance Renewal Rate,-1%
2014,q3,global,Property Insurance Renewal Rate,-4.6%
2014,q3,global,Financial and Professional Liability Insurance Renewal Rate,-1.9%
2014,q4,global,Insurance Market Index,0.977
2014,q4,global,Insurance Composite Renewal Rate,-4.2%
2014,q4,global,Casualty Insurance Renewal Rate,-2.8%
2014,q4,global,Property Insurance Renewal Rate,-6%
2014,q4,global,Financial and Professional Liability Insurance Renewal Rate,-2.6%
2015,q1,global,Insurance Market Index,0.967
2015,q1,global,Insurance Composite Renewal Rate,-4.2%
2015,q1,global,Casualty Insurance Renewal Rate,-2.3%
2015,q1,global,Property Insurance Renewal Rate,-6.5%
2015,q1,global,Financial and Professional Liability Insurance Renewal Rate,-2.6%
2015,q2,global,Insurance Market Index,0.956
2015,q2,global,Insurance Composite Renewal Rate,-4.4%
2015,q2,global,Casualty Insurance Renewal Rate,-1.9%
2015,q2,global,Property Insurance Renewal Rate,-6.5%
2015,q2,global,Financial and Professional Liability Insurance Renewal Rate,-4.5%
2015,q3,global,Insurance Market Index,0.944
2015,q3,global,Insurance Composite Renewal Rate,-4.8%
2015,q3,global,Casualty Insurance Renewal Rate,-2.5%
2015,q3,global,Property Insurance Renewal Rate,-7.1%
2015,q3,global,Financial and Professional Liability Insurance Renewal Rate,-4.6%
2015,q4,global,Insurance Market Index,0.932
2015,q4,global,Insurance Composite Renewal Rate,-5%
2015,q4,global,Casualty Insurance Renewal Rate,-3.4%
2015,q4,global,Property Insurance Renewal Rate,-7.6%
2015,q4,global,Financial and Professional Liability Insurance Renewal Rate,-2.6%
2016,q1,global,Insurance Market Index,0.923
2016,q1,global,Insurance Composite Renewal Rate,-3.8%
2016,q1,global,Casualty Insurance Renewal Rate,-2.4%
2016,q1,global,Property Insurance Renewal Rate,-5.6%
2016,q1,global,Financial and Professional Liability Insurance Renewal Rate,-2.6%
2016,q2,global,Insurance Market Index,0.915
2016,q2,global,Insurance Composite Renewal Rate,-3.6%
2016,q2,global,Casualty Insurance Renewal Rate,-2.9%
2016,q2,global,Property Insurance Renewal Rate,-4.5%
2016,q2,global,Financial and Professional Liability Insurance Renewal Rate,-3.1%
2016,q3,global,Insurance Market Index,0.908
2016,q3,global,Insurance Composite Renewal Rate,-3.2%
2016,q3,global,Casualty Insurance Renewal Rate,-2.4%
2016,q3,global,Property Insurance Renewal Rate,-3.9%
2016,q3,global,Financial and Professional Liability Insurance Renewal Rate,-2.9%
2016,q4,global,Insurance Market Index,0.901
2016,q4,global,Insurance Composite Renewal Rate,-3.1%
2016,q4,global,Casualty Insurance Renewal Rate,-1.9%
2016,q4,global,Property Insurance Renewal Rate,-4.2%
2016,q4,global,Financial and Professional Liability Insurance Renewal Rate,-3%
2017,q1,global,Insurance Market Index,0.896
2017,q1,global,Insurance Composite Renewal Rate,-2.1%
2017,q1,global,Casualty Insurance Renewal Rate,-0.2%
2017,q1,global,Property Insurance Renewal Rate,-3.6%
2017,q1,global,Financial and Professional Liability Insurance Renewal Rate,-2.6%
2012,q1,us,Insurance Composite Renewal Rate,2%
2012,q1,us,Casualty Insurance Renewal Rate,1.6%
2012,q1,us,Property Insurance Renewal Rate,4%
2012,q1,us,Financial and Professional Liability Insurance Renewal Rate,-0.2%
2012,q1,us,Cyber Liability Insurance Renewal Rate,6.8%
2012,q2,us,Insurance Composite Renewal Rate,1.5%
2012,q2,us,Casualty Insurance Renewal Rate,0.6%
2012,q2,us,Property Insurance Renewal Rate,3.1%
2012,q2,us,Financial and Professional Liability Insurance Renewal Rate,1%
2012,q2,us,Cyber Liability Insurance Renewal Rate,-2.4%
2012,q3,us,Insurance Composite Renewal Rate,2.1%
2012,q3,us,Casualty Insurance Renewal Rate,1.9%
2012,q3,us,Property Insurance Renewal Rate,2.8%
2012,q3,us,Financial and Professional Liability Insurance Renewal Rate,1.7%
2012,q3,us,Cyber Liability Insurance Renewal Rate,-0.3%
2012,q4,us,Insurance Composite Renewal Rate,2.1%
2012,q4,us,Casualty Insurance Renewal Rate,2.6%
2012,q4,us,Property Insurance Renewal Rate,1.4%
2012,q4,us,Financial and Professional Liability Insurance Renewal Rate,2.1%
2012,q4,us,Cyber Liability Insurance Renewal Rate,0.1%
2013,q1,us,Insurance Composite Renewal Rate,2.2%
2013,q1,us,Casualty Insurance Renewal Rate,1.8%
2013,q1,us,Property Insurance Renewal Rate,2.5%
2013,q1,us,Financial and Professional Liability Insurance Renewal Rate,2.7%
2013,q1,us,Cyber Liability Insurance Renewal Rate,5.4%
2013,q2,us,Insurance Composite Renewal Rate,1.6%
2013,q2,us,Casualty Insurance Renewal Rate,2.1%
2013,q2,us,Property Insurance Renewal Rate,0.5%
2013,q2,us,Financial and Professional Liability Insurance Renewal Rate,2.5%
2013,q2,us,Cyber Liability Insurance Renewal Rate,0.4%
2013,q3,us,Insurance Composite Renewal Rate,1.9%
2013,q3,us,Casualty Insurance Renewal Rate,2.5%
2013,q3,us,Property Insurance Renewal Rate,1%
2013,q3,us,Financial and Professional Liability Insurance Renewal Rate,2.2%
2013,q3,us,Cyber Liability Insurance Renewal Rate,3.3%
2013,q4,us,Insurance Composite Renewal Rate,0.6%
2013,q4,us,Casualty Insurance Renewal Rate,0.5%
2013,q4,us,Property Insurance Renewal Rate,0.2%
2013,q4,us,Financial and Professional Liability Insurance Renewal Rate,1.7%
2013,q4,us,Cyber Liability Insurance Renewal Rate,0.2%
2014,q1,us,Insurance Composite Renewal Rate,-0.2%
2014,q1,us,Casualty Insurance Renewal Rate,0.9%
2014,q1,us,Property Insurance Renewal Rate,-2.5%
2014,q1,us,Financial and Professional Liability Insurance Renewal Rate,1%
2014,q1,us,Cyber Liability Insurance Renewal Rate,4.1%
2014,q2,us,Insurance Composite Renewal Rate,-0.8%
2014,q2,us,Casualty Insurance Renewal Rate,0.6%
2014,q2,us,Property Insurance Renewal Rate,-2.1%
2014,q2,us,Financial and Professional Liability Insurance Renewal Rate,-1.5%
2014,q2,us,Cyber Liability Insurance Renewal Rate,-0.8%
2014,q3,us,Insurance Composite Renewal Rate,-0.1%
2014,q3,us,Casualty Insurance Renewal Rate,1%
2014,q3,us,Property Insurance Renewal Rate,-2%
2014,q3,us,Financial and Professional Liability Insurance Renewal Rate,0.8%
2014,q3,us,Cyber Liability Insurance Renewal Rate,4.8%
2014,q4,us,Insurance Composite Renewal Rate,-2.2%
2014,q4,us,Casualty Insurance Renewal Rate,-1.6%
2014,q4,us,Property Insurance Renewal Rate,-3.8%
2014,q4,us,Financial and Professional Liability Insurance Renewal Rate,-0.9%
2014,q4,us,Cyber Liability Insurance Renewal Rate,12.8%
2015,q1,us,Insurance Composite Renewal Rate,-2%
2015,q1,us,Casualty Insurance Renewal Rate,-1.8%
2015,q1,us,Property Insurance Renewal Rate,-3.5%
2015,q1,us,Financial and Professional Liability Insurance Renewal Rate,-0.1%
2015,q1,us,Cyber Liability Insurance Renewal Rate,19.1%
2015,q2,us,Insurance Composite Renewal Rate,-2.2%
2015,q2,us,Casualty Insurance Renewal Rate,-1.1%
2015,q2,us,Property Insurance Renewal Rate,-4.8%
2015,q2,us,Financial and Professional Liability Insurance Renewal Rate,-0.7%
2015,q2,us,Cyber Liability Insurance Renewal Rate,20%
2015,q3,us,Insurance Composite Renewal Rate,-2.8%
2015,q3,us,Casualty Insurance Renewal Rate,-2.1%
2015,q3,us,Property Insurance Renewal Rate,-6.2%
2015,q3,us,Financial and Professional Liability Insurance Renewal Rate,0.4%
2015,q3,us,Cyber Liability Insurance Renewal Rate,18.7%
2015,q4,us,Insurance Composite Renewal Rate,-3.6%
2015,q4,us,Casualty Insurance Renewal Rate,-3.4%
2015,q4,us,Property Insurance Renewal Rate,-5.7%
2015,q4,us,Financial and Professional Liability Insurance Renewal Rate,-1.1%
2015,q4,us,Cyber Liability Insurance Renewal Rate,16.9%
2016,q1,us,Insurance Composite Renewal Rate,-2.6%
2016,q1,us,Casualty Insurance Renewal Rate,-2.6%
2016,q1,us,Property Insurance Renewal Rate,-4%
2016,q1,us,Financial and Professional Liability Insurance Renewal Rate,-0.8%
2016,q1,us,Cyber Liability Insurance Renewal Rate,12%
2016,q2,us,Insurance Composite Renewal Rate,-3.9%
2016,q2,us,Casualty Insurance Renewal Rate,-3.4%
2016,q2,us,Property Insurance Renewal Rate,-5.8%
2016,q2,us,Financial and Professional Liability Insurance Renewal Rate,-2.4%
2016,q2,us,Cyber Liability Insurance Renewal Rate,6.9%
2016,q3,us,Insurance Composite Renewal Rate,-3.1%
2016,q3,us,Casualty Insurance Renewal Rate,-3.1%
2016,q3,us,Property Insurance Renewal Rate,-3.8%
2016,q3,us,Financial and Professional Liability Insurance Renewal Rate,-2.2%
2016,q3,us,Cyber Liability Insurance Renewal Rate,5.2%
2016,q4,us,Insurance Composite Renewal Rate,-3%
2016,q4,us,Casualty Insurance Renewal Rate,-2.1%
2016,q4,us,Property Insurance Renewal Rate,-4.8%
2016,q4,us,Financial and Professional Liability Insurance Renewal Rate,-2.5%
2016,q4,us,Cyber Liability Insurance Renewal Rate,1.4%
2017,q1,us,Insurance Composite Renewal Rate,-1.2%
2017,q1,us,Casualty Insurance Renewal Rate,1.1%
2017,q1,us,Property Insurance Renewal Rate,-3.7%
2017,q1,us,Financial and Professional Liability Insurance Renewal Rate,-2.5%
2017,q1,us,Cyber Liability Insurance Renewal Rate,-1.7%
2012,q1,uk,Insurance Composite Renewal Rate,1.6%
2012,q1,uk,Casualty Insurance Renewal Rate,0%
2012,q1,uk,Property Insurance Renewal Rate,2.5%
2012,q1,uk,Financial and Professional Liability Insurance Renewal Rate,1.7%
2012,q2,uk,Insurance Composite Renewal Rate,1.4%
2012,q2,uk,Casualty Insurance Renewal Rate,1.6%
2012,q2,uk,Property Insurance Renewal Rate,2.5%
2012,q2,uk,Financial and Professional Liability Insurance Renewal Rate,0%
2012,q3,uk,Insurance Composite Renewal Rate,2%
2012,q3,uk,Casualty Insurance Renewal Rate,1.6%
2012,q3,uk,Property Insurance Renewal Rate,2.5%
2012,q3,uk,Financial and Professional Liability Insurance Renewal Rate,1.7%
2012,q4,uk,Insurance Composite Renewal Rate,1.6%
2012,q4,uk,Casualty Insurance Renewal Rate,1.6%
2012,q4,uk,Property Insurance Renewal Rate,0%
2012,q4,uk,Financial and Professional Liability Insurance Renewal Rate,3.3%
2013,q1,uk,Insurance Composite Renewal Rate,-1%
2013,q1,uk,Casualty Insurance Renewal Rate,-1.8%
2013,q1,uk,Property Insurance Renewal Rate,0%
2013,q1,uk,Financial and Professional Liability Insurance Renewal Rate,-1.7%
2013,q2,uk,Insurance Composite Renewal Rate,-1.7%
2013,q2,uk,Casualty Insurance Renewal Rate,-5%
2013,q2,uk,Property Insurance Renewal Rate,0%
2013,q2,uk,Financial and Professional Liability Insurance Renewal Rate,-1.7%
2013,q3,uk,Insurance Composite Renewal Rate,-1.6%
2013,q3,uk,Casualty Insurance Renewal Rate,-1.8%
2013,q3,uk,Property Insurance Renewal Rate,0%
2013,q3,uk,Financial and Professional Liability Insurance Renewal Rate,-3.3%
2013,q4,uk,Insurance Composite Renewal Rate,-0.9%
2013,q4,uk,Casualty Insurance Renewal Rate,1.6%
2013,q4,uk,Property Insurance Renewal Rate,0%
2013,q4,uk,Financial and Professional Liability Insurance Renewal Rate,-3.3%
2014,q1,uk,Insurance Composite Renewal Rate,-2.2%
2014,q1,uk,Casualty Insurance Renewal Rate,-0.6%
2014,q1,uk,Property Insurance Renewal Rate,-5%
2014,q1,uk,Financial and Professional Liability Insurance Renewal Rate,0%
2014,q2,uk,Insurance Composite Renewal Rate,-2.5%
2014,q2,uk,Casualty Insurance Renewal Rate,3.8%
2014,q2,uk,Property Insurance Renewal Rate,-5%
2014,q2,uk,Financial and Professional Liability Insurance Renewal Rate,-3.3%
2014,q3,uk,Insurance Composite Renewal Rate,-4.7%
2014,q3,uk,Casualty Insurance Renewal Rate,-3.4%
2014,q3,uk,Property Insurance Renewal Rate,-5%
2014,q3,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2014,q4,uk,Insurance Composite Renewal Rate,-5%
2014,q4,uk,Casualty Insurance Renewal Rate,-5%
2014,q4,uk,Property Insurance Renewal Rate,-5%
2014,q4,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2015,q1,uk,Insurance Composite Renewal Rate,-5%
2015,q1,uk,Casualty Insurance Renewal Rate,-5%
2015,q1,uk,Property Insurance Renewal Rate,-5%
2015,q1,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2015,q2,uk,Insurance Composite Renewal Rate,-7.2%
2015,q2,uk,Casualty Insurance Renewal Rate,-3.7%
2015,q2,uk,Property Insurance Renewal Rate,-5%
2015,q2,uk,Financial and Professional Liability Insurance Renewal Rate,-11.7%
2015,q3,uk,Insurance Composite Renewal Rate,-8.5%
2015,q3,uk,Casualty Insurance Renewal Rate,-3.7%
2015,q3,uk,Property Insurance Renewal Rate,-5%
2015,q3,uk,Financial and Professional Liability Insurance Renewal Rate,-15%
2015,q4,uk,Insurance Composite Renewal Rate,-5%
2015,q4,uk,Casualty Insurance Renewal Rate,-5%
2015,q4,uk,Property Insurance Renewal Rate,-5%
2015,q4,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2016,q1,uk,Insurance Composite Renewal Rate,-5%
2016,q1,uk,Casualty Insurance Renewal Rate,-5%
2016,q1,uk,Property Insurance Renewal Rate,-5%
2016,q1,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2016,q2,uk,Insurance Composite Renewal Rate,-4.8%
2016,q2,uk,Casualty Insurance Renewal Rate,-4.2%
2016,q2,uk,Property Insurance Renewal Rate,-5%
2016,q2,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2016,q3,uk,Insurance Composite Renewal Rate,-4.8%
2016,q3,uk,Casualty Insurance Renewal Rate,-4.2%
2016,q3,uk,Property Insurance Renewal Rate,-5%
2016,q3,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
2016,q4,uk,Insurance Composite Renewal Rate,-4.8%
2016,q4,uk,Casualty Insurance Renewal Rate,-4.2%
2016,q4,uk,Property Insurance Renewal Rate,-5%
2016,q4,uk,Financial and Professional Liability Insurance Renewal Rate,-5%
